#
# unknown PARAMETER set 
#
#
# TimeSeriesTable of series:
#
# TT.L_Close [249,249] Werte
# TSCO.L_Close [261,261] Werte
# BP.L_Close [261,261] Werte
# BG.L_Close [261,261] Werte
# MGGT.L_Close [261,261] Werte
# AGK.L_Close [261,261] Werte
# RIO.L_Close [261,261] Werte
# SBRY.L_Close [261,261] Werte
# TLW.L_Close [261,261] Werte
# CCL.L_Close [261,261] Werte
# VOD.L_Close [261,261] Werte
# SVT.L_Close [261,261] Werte
# BLT.L_Close [261,261] Werte
# REX.L_Close [261,261] Werte
# MKS.L_Close [261,261] Werte
# ANTO.L_Close [261,261] Werte
# AZN.L_Close [261,261] Werte
# UU.L_Close [261,261] Werte
# SSE.L_Close [261,261] Werte
# RDSB.L_Close [261,261] Werte
# BA.L_Close [261,261] Werte
# AAL.L_Close [261,261] Werte
# MRW.L_Close [261,261] Werte
# NG.L_Close [261,261] Werte
# MNDI.L_Close [261,261] Werte
# BT-A.L_Close [261,261] Werte
# CNA.L_Close [261,261] Werte
# EZJ.L_Close [261,261] Werte
#
#
Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
1412838000000.0000	391.5000	186.7000	435.1500	1051.0000	435.2000	1474.0000	3053.0000	230.2000	571.0000	2268.0000	197.3500	1897.0000	3331.0000	480.6000	394.1000	686.0000	4210.0000	805.0000	1517.0000	2320.0000	442.9000	1356.0000	159.7000	876.0000	956.0000	369.0000	302.4000	1341.0000	
1388649600000.0000	374.5000	330.0500	488.8500	1296.0000	533.5000	1694.9970	3370.0000	367.4000	855.0000	2469.0000	134.8980	1694.0000	3704.0000	518.0000	427.3000	822.0000	3558.0000	670.0000	1339.0000	2263.5000	430.5000	1292.0000	259.5000	785.5000	1045.0000	380.1000	343.8000	1552.0000	
1391760000000.0000	437.6000	320.9000	481.7000	1053.0000	517.5000	1564.9990	3407.0000	351.1000	836.5000	2527.0000	126.2540	1763.0000	3610.0000	503.5010	472.5000	894.0000	3860.0000	733.0000	1357.0000	2223.0000	429.1000	1480.0000	237.9000	792.0000	960.5000	392.0000	314.2000	1728.0000	
1411542000000.0000	358.2000	194.9000	464.9500	1150.5000	470.8000	1570.0000	3182.5000	260.6000	665.0000	2451.0000	204.2500	1888.0000	3595.0000	508.5000	428.2000	741.0000	4396.0000	822.0000	1530.0000	2463.0000	466.4000	1461.0000	176.1000	882.0000	1045.0000	388.4000	308.1000	1315.0000	
1408431600000.0000	444.5000	248.5000	481.6000	1190.0000	466.5000	1740.0000	3414.5000	311.9000	717.0000	2296.0000	202.2000	1950.0000	3930.0000	494.0000	435.0000	818.0000	4238.5000	876.0000	1505.0000	2546.0000	439.0000	1578.5000	175.4000	881.5000	1023.0000	376.0000	314.9000	1335.0000	
1418371200000.0000	382.7000	165.7500	385.6500	819.0000	481.2000	1421.0000	2682.5000	227.5000	367.3000	2719.0000	215.3000	1937.0000	2650.0000	444.6000	467.7000	701.5000	4573.0000	903.0000	1611.0000	2031.5000	442.3000	1136.0000	171.0000	882.5000	1033.0000	397.4000	265.4000	1640.0000	
1407135600000.0000	423.8000	250.7000	484.5500	1221.5000	503.5000	1721.0000	3360.5000	307.8000	722.0000	2115.0000	196.4000	1876.0000	4027.0000	506.0000	422.7000	811.0000	4362.5000	858.5000	1440.0000	2538.0000	425.6000	1585.0000	168.3000	844.5000	1031.0000	377.6000	307.2000	1275.0000	
1399618800000.0000	442.0000	296.8500	500.9000	1264.5000	479.0000	1642.0000	3188.5000	335.8000	898.5000	2399.0000	226.7500	1865.0000	3793.0000	502.5010	458.4000	769.0000	4600.5000	822.5000	1511.0000	2576.0000	405.0000	1604.0000	197.6000	855.0000	1016.0000	382.5000	318.5000	1685.0000	
1414479600000.0000	428.2000	169.8000	437.0000	1026.0000	439.1000	1490.0000	3023.5000	245.3000	485.7000	2381.0000	203.5500	1996.0000	3263.0000	470.4000	406.6000	700.5000	4397.0000	845.0000	1555.0000	2282.0000	442.6000	1344.5000	154.4000	900.0000	1012.0000	375.4000	295.0000	1449.0000	
1390291200000.0000	335.4000	329.6000	491.3000	1342.0000	540.0000	1735.0010	3231.5000	366.0000	889.5000	2553.0000	135.1820	1667.0000	3709.0000	508.0000	482.0000	819.5000	3947.0000	696.0000	1340.0000	2273.5000	437.5000	1356.0000	250.1000	792.0000	993.0000	381.5000	322.4000	1710.0000	
1395212400000.0000	426.5000	294.6000	476.9500	1070.0000	471.8000	1518.9980	3144.5000	310.5000	766.5000	2420.0000	227.7000	1865.0000	3557.0000	490.7010	472.6000	785.0000	3977.5000	795.0000	1438.0000	2301.5000	413.5000	1388.5000	210.2000	830.0000	1071.0000	396.0000	331.5000	1634.0000	
